true_label,noise_label,estimated_error,true_error
5,5,False,False
0,0,False,False
4,4,False,False
1,1,False,False
9,9,False,False
2,2,False,False
1,4,True,True
3,3,False,False
1,4,True,True
4,4,False,False
3,2,True,True
5,5,False,False
3,3,False,False
6,6,False,False
1,1,False,False
7,7,False,False
2,2,False,False
8,1,False,True
6,6,False,False
9,9,False,False
4,4,False,False
0,0,False,False
9,9,False,False
1,1,False,False
1,1,False,False
2,2,False,False
4,4,False,False
3,3,False,False
2,2,False,False
7,7,False,False
3,3,False,False
8,8,False,False
6,8,True,True
9,9,False,False
0,0,False,False
5,5,False,False
6,8,True,True
0,0,False,False
7,9,True,True
6,6,False,False
1,7,True,True
8,8,False,False
7,7,False,False
9,9,False,False
3,3,False,False
9,9,False,False
8,8,False,False
5,5,False,False
9,4,True,True
3,3,False,False
3,3,False,False
0,0,False,False
7,7,False,False
4,4,False,False
9,7,True,True
8,8,False,False
0,6,True,True
9,9,False,False
4,4,False,False
1,1,False,False
4,4,False,False
4,4,False,False
6,6,False,False
0,0,False,False
4,4,False,False
5,5,False,False
6,6,False,False
1,7,True,True
0,0,False,False
0,0,False,False
1,7,True,True
7,9,True,True
1,1,False,False
6,6,False,False
3,3,False,False
0,0,False,False
2,3,True,True
1,7,True,True
1,1,False,False
7,9,True,True
9,4,True,True
0,0,False,False
2,2,False,False
6,6,False,False
7,7,False,False
8,8,False,False
3,3,False,False
9,7,True,True
0,0,False,False
4,4,False,False
6,0,True,True
7,1,True,True
4,4,False,False
6,6,False,False
8,1,True,True
0,6,True,True
7,7,False,False
8,8,False,False
3,3,False,False
1,1,False,False
5,5,False,False
7,7,False,False
1,7,True,True
7,7,False,False
1,1,False,False
1,1,False,False
6,6,False,False
3,3,False,False
0,0,False,False
2,2,False,False
9,9,False,False
3,3,False,False
1,1,False,False
1,5,True,True
0,0,False,False
4,4,False,False
9,4,True,True
2,2,False,False
0,0,False,False
0,0,False,False
2,5,True,True
0,6,True,True
2,2,False,False
7,9,True,True
1,1,False,False
8,8,False,False
6,8,True,True
4,9,True,True
1,5,True,True
6,6,False,False
3,3,False,False
4,4,False,False
5,5,False,False
9,9,False,False
1,1,False,False
3,2,True,True
3,3,False,False
8,6,True,True
5,5,False,False
4,4,False,False
7,7,False,False
7,7,False,False
4,4,False,False
2,2,False,False
8,8,False,False
5,5,False,False
8,8,False,False
6,6,False,False
7,7,False,False
3,3,False,False
4,4,False,False
6,6,False,False
1,1,False,False
9,7,True,True
9,9,False,False
6,8,True,True
0,0,False,False
3,3,False,False
7,7,True,False
2,2,False,False
8,8,False,False
2,2,False,False
9,9,False,False
4,4,False,False
4,4,False,False
6,6,False,False
4,4,False,False
9,9,False,False
7,7,False,False
0,0,False,False
9,4,True,True
2,2,False,False
9,9,False,False
5,5,False,False
1,1,False,False
5,5,False,False
9,9,False,False
1,1,False,False
2,3,True,True
3,3,False,False
2,2,False,False
3,3,False,False
5,5,False,False
9,9,False,False
1,7,True,True
7,7,False,False
6,6,False,False
2,2,False,False
8,8,False,False
2,2,False,False
2,2,False,False
5,5,False,False
0,6,True,True
7,9,True,True
4,4,False,False
9,9,False,False
7,7,False,False
8,8,False,False
3,3,False,False
2,2,False,False
1,1,False,False
1,1,False,False
8,8,False,False
3,3,False,False
6,6,False,False
1,7,True,True
0,0,False,False
3,3,False,False
1,1,False,False
0,0,False,False
0,0,False,False
1,1,False,False
7,7,False,False
2,2,False,False
7,7,False,False
3,3,False,False
0,0,False,False
4,4,False,False
6,6,False,False
5,5,False,False
